disno,dyindex,statea,namea,stateb,nameb,strtday,strtmnth,strtyr,year,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,ongo2014,new,change,changetype_1,changetype_2
2603,2603.002,365,RUS,368,LIT,11,11,1918,1919,12,7,1920,Ongoing,Ongoing,None,Occupation of territory,4,0,1,2,1,1,1,None,Occupation of territory,4,1,0,0,0,None,Occupation of territory,4,1,1,3,0,2,365,416,Occupation of territory,Occupation of territory,Occupation of territory,No,No,No,None,None
2603,2603.002,365,RUS,368,LIT,11,11,1918,1920,12,7,1920,Win B,Negotiated,None,Occupation of territory,4,0,1,2,1,1,1,Missing (knon fatalities,Occupation of territory,4,1,0,0,0,Missing (knon fatalities,Occupation of territory,4,1,1,3,0,3,195,611,Occupation of territory,Occupation of territory,Occupation of territory,No,No,No,None,None
2603,2603.002,368,LIT,365,RUS,11,11,1918,1918,12,7,1920,Ongoing,Ongoing,None,Occupation of territory,4,0,1,2,0,0,0,None,Occupation of territory,4,1,1,1,1,None,Occupation of territory,4,1,3,1,0,1,51,51,Occupation of territory,Occupation of territory,Occupation of territory,No,No,No,None,None
2603,2603.002,368,LIT,365,RUS,11,11,1918,1919,12,7,1920,Ongoing,Ongoing,None,Occupation of territory,4,0,1,2,0,0,0,None,Occupation of territory,4,1,1,1,1,None,Occupation of territory,4,1,3,1,0,2,365,416,Occupation of territory,Occupation of territory,Occupation of territory,No,No,No,None,None
2603,2603.002,368,LIT,365,RUS,11,11,1918,1920,12,7,1920,Win A,Negotiated,None,Occupation of territory,4,0,1,2,0,0,0,Missing (knon fatalities,Occupation of territory,4,1,1,1,1,Missing (knon fatalities,Occupation of territory,4,1,3,1,0,3,195,611,Occupation of territory,Occupation of territory,Occupation of territory,No,No,No,None,None
2604,2604.001,200,UKG,365,RUS,12,12,1918,1918,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,0,1,1,1,None,Begin Interstate War,5,1,4,1,1,1,20,20,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.001,200,UKG,365,RUS,12,12,1918,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,0,1,1,1,None,Begin Interstate War,5,1,4,1,1,2,365,385,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.001,200,UKG,365,RUS,12,12,1918,1920,1,2,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,1,1,"1,000+",Begin Interstate War,5,1,4,1,1,3,33,418,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.001,365,RUS,200,UKG,12,12,1918,1918,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,0,1,4,1,1,20,20,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.001,365,RUS,200,UKG,12,12,1918,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,0,1,4,1,2,365,385,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.001,365,RUS,200,UKG,12,12,1918,1920,1,2,1920,Win B,Negotiated,None,Begin Interstate War,5,0,1,6,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,4,1,3,33,418,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.002,220,FRN,365,RUS,27,3,1919,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,0,1,1,1,None,Begin Interstate War,5,1,4,1,1,1,280,280,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,No,None,None
2604,2604.002,220,FRN,365,RUS,27,3,1919,1920,1,2,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,1,1,Missing (knon fatalities,Begin Interstate War,5,1,4,1,1,2,33,313,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2604,2604.002,365,RUS,220,FRN,27,3,1919,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,0,1,4,1,1,280,280,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2604,2604.002,365,RUS,220,FRN,27,3,1919,1920,1,2,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,"1,000+",Begin Interstate War,5,0,1,4,1,2,33,313,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2604,2604.003,255,GMY,365,RUS,1,1,1919,1919,15,4,1919,Statlemate,None,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,1,1,"1,000+",Begin Interstate War,5,1,4,1,1,1,105,105,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.003,365,RUS,255,GMY,1,1,1919,1919,15,4,1919,Statlemate,None,"1,000+",Begin Interstate War,5,0,1,6,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,4,1,1,105,105,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.004,290,POL,365,RUS,3,1,1920,1920,1,2,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,1,1,"1,000+",Begin Interstate War,5,1,4,1,1,1,30,30,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.004,365,RUS,290,POL,3,1,1920,1920,1,2,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,Missing (knon fatalities,Begin Interstate War,5,0,1,4,1,1,30,30,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.005,365,RUS,366,EST,1,2,1919,1919,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,3,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,0,1,4,1,1,334,334,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,No,None,None
2604,2604.005,365,RUS,366,EST,1,2,1919,1920,3,1,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,1,1,3,"1,000+",Begin Interstate War,5,1,0,0,0,"1,000+",Begin Interstate War,5,0,1,4,1,2,4,338,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,No,None,None
2604,2604.005,366,EST,365,RUS,1,2,1919,1919,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,0,1,1,3,None,Begin Interstate War,5,1,4,1,1,1,334,334,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,No,None,None
2604,2604.005,366,EST,365,RUS,1,2,1919,1920,3,1,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,"1,000+",Begin Interstate War,5,0,1,1,3,"1,000+",Begin Interstate War,5,1,4,1,1,2,4,338,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,No,None,None
2604,2604.006,365,RUS,367,LAT,2,12,1918,1918,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,1,30,30,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.006,365,RUS,367,LAT,2,12,1918,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,2,365,395,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.006,365,RUS,367,LAT,2,12,1918,1920,1,2,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,"1,000+",Begin Interstate War,5,1,1,3,1,3,33,428,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.006,367,LAT,365,RUS,2,12,1918,1918,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,1,1,1,1,None,Begin Interstate War,5,1,3,1,1,1,30,30,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.006,367,LAT,365,RUS,2,12,1918,1919,1,2,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,6,0,0,0,None,Begin Interstate War,5,1,1,1,1,None,Begin Interstate War,5,1,3,1,1,2,365,395,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2604,2604.006,367,LAT,365,RUS,2,12,1918,1920,1,2,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,6,0,0,0,"1,000+",Begin Interstate War,5,1,1,1,1,"1,000+",Begin Interstate War,5,1,3,1,1,3,33,428,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,365,RUS,366,EST,22,11,1918,1918,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,1,40,40,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,365,RUS,366,EST,22,11,1918,1919,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,1,1,1,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,2,365,405,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,365,RUS,366,EST,22,11,1918,1920,3,1,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,4,1,1,1,"1,000+",Begin Interstate War,5,1,0,0,0,Missing (knon fatalities,Begin Interstate War,5,1,1,3,1,3,4,409,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,366,EST,365,RUS,22,11,1918,1918,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,0,0,0,None,Begin Interstate War,5,1,1,1,1,None,Begin Interstate War,5,1,3,1,1,1,40,40,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,366,EST,365,RUS,22,11,1918,1919,3,1,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,0,0,0,None,Begin Interstate War,5,1,1,1,1,None,Begin Interstate War,5,1,3,1,1,2,365,405,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.001,366,EST,365,RUS,22,11,1918,1920,3,1,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,4,0,0,0,"1,000+",Begin Interstate War,5,1,1,1,1,Missing (knon fatalities,Begin Interstate War,5,1,3,1,1,3,4,409,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
2605,2605.002,365,RUS,375,FIN,13,12,1918,1918,30,4,1920,Ongoing,Ongoing,None,Mobilization,3,0,1,4,1,1,3,None,Mobilization,3,1,0,0,0,None,Mobilization,3,0,1,4,0,1,19,19,Mobilization,Mobilization,Mobilization,No,No,Yes,None,None
2605,2605.002,365,RUS,375,FIN,13,12,1918,1919,30,4,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,1,1,3,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,0,1,4,1,2,365,384,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2605,2605.002,365,RUS,375,FIN,13,12,1918,1920,30,4,1920,Win B,Negotiated,"1,000+",Begin Interstate War,5,0,1,4,1,1,3,"1,000+",Begin Interstate War,5,1,0,0,0,26-100,Begin Interstate War,5,0,1,4,1,3,122,506,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2605,2605.002,375,FIN,365,RUS,13,12,1918,1918,30,4,1920,Ongoing,Ongoing,None,Mobilization,3,0,1,4,0,0,0,None,Mobilization,3,0,1,1,1,None,Mobilization,3,1,4,1,0,1,19,19,Mobilization,Mobilization,Mobilization,No,No,Yes,None,None
2605,2605.002,375,FIN,365,RUS,13,12,1918,1919,30,4,1920,Ongoing,Ongoing,None,Begin Interstate War,5,0,1,4,0,0,0,None,Begin Interstate War,5,0,1,1,3,None,Begin Interstate War,5,1,4,1,1,2,365,384,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2605,2605.002,375,FIN,365,RUS,13,12,1918,1920,30,4,1920,Win A,Negotiated,"1,000+",Begin Interstate War,5,0,1,4,0,0,0,26-100,Begin Interstate War,5,0,1,1,3,"1,000+",Begin Interstate War,5,1,4,1,1,3,122,506,Begin interstate war,Begin interstate war,Begin interstate war,No,Yes,Yes,None,None
2605,2605.003,365,RUS,380,SWD,1,2,1919,1919,31,5,1919,Win B,Negotiated,"1,000+",Seizure,4,0,1,4,1,1,3,"1,000+",Seizure,4,1,0,0,0,26-100,Seizure,4,0,1,4,0,1,120,120,Seizure of material/personnel,Seizure of material/personnel,Seizure of material/personnel,No,Yes,No,None,None
2605,2605.003,380,SWD,365,RUS,1,2,1919,1919,31,5,1919,Win A,Negotiated,"1,000+",Seizure,4,0,1,4,0,0,0,26-100,Seizure,4,0,1,1,3,"1,000+",Seizure,4,1,4,1,0,1,120,120,Seizure of material/personnel,Seizure of material/personnel,Seizure of material/personnel,No,Yes,No,None,None
2605,2605.004,365,RUS,390,DEN,1,4,1919,1919,30,9,1919,Win B,Negotiated,"1,000+",Seizure,4,0,1,4,1,1,3,"1,000+",Seizure,4,1,0,0,0,26-100,Seizure,4,0,1,4,0,1,183,183,Seizure of material/personnel,Seizure of material/personnel,Seizure of material/personnel,No,Yes,No,None,None
2605,2605.004,390,DEN,365,RUS,1,4,1919,1919,30,9,1919,Win A,Negotiated,"1,000+",Seizure,4,0,1,4,0,0,0,26-100,Seizure,4,0,1,1,3,"1,000+",Seizure,4,1,4,1,0,1,183,183,Seizure of material/personnel,Seizure of material/personnel,Seizure of material/personnel,No,Yes,No,None,None
2610,2610.001,452,GHA,490,DRC,21,11,1960,1960,22,11,1960,Statlemate,None,None,Border violation,3,0,1,1,0,0,0,None,No military action,1,1,1,1,4,None,Border violation,3,1,3,1,0,1,2,2,Border violation,None,Border violation,No,No,No,None,None
2610,2610.001,490,DRC,452,GHA,21,11,1960,1960,22,11,1960,Statlemate,None,None,Border violation,3,0,1,1,1,1,4,None,Border violation,3,1,0,0,0,None,No military action,1,1,1,3,0,1,2,2,Border violation,Border violation,None,No,No,No,None,None
2612,2612.001,211,BEL,365,RUS,31,7,1960,1960,31,7,1960,Yield A,None,None,Threat to use force,2,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Threat to use force,2,1,3,1,0,1,1,1,Threat to use force,None,Threat to use force,No,No,No,None,None
2612,2612.001,365,RUS,211,BEL,31,7,1960,1960,31,7,1960,Yield B,None,None,Threat to use force,2,0,1,1,1,1,2,None,Threat to use force,2,1,0,0,0,None,No military action,1,1,1,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
2615,2615.001,516,BUI,517,RWA,11,10,1972,1972,11,10,1972,Statlemate,None,None,Raid,4,0,1,1,0,0,0,None,No military action,1,1,1,1,3,None,Raid,4,1,3,1,0,1,1,1,Attack,None,Attack,No,No,No,None,None
2615,2615.001,517,RWA,516,BUI,11,10,1972,1972,11,10,1972,Statlemate,None,None,Raid,4,0,1,1,1,1,3,None,Raid,4,1,0,0,0,None,No military action,1,1,1,3,0,1,1,1,Attack,Attack,None,No,No,No,None,None
2616,2616.001,420,GAM,433,SEN,14,1,1971,1971,24,3,1971,Compromise,Negotiated,None,Raid,4,0,1,1,0,0,0,None,Seizure,4,1,1,1,2,None,Raid,4,1,3,1,0,1,70,70,Attack,Seizure of material/personnel,Attack,No,No,No,None,None
2616,2616.001,433,SEN,420,GAM,14,1,1971,1971,24,3,1971,Compromise,Negotiated,None,Raid,4,0,1,1,1,1,2,None,Raid,4,1,0,0,0,None,Seizure,4,1,1,3,0,1,70,70,Attack,Attack,Seizure of material/personnel,No,No,No,None,None
2617,2617.001,510,TAZ,516,BUI,13,7,1973,1973,22,7,1973,Yield B,Negotiated,None,Clash,4,1,1,1,1,1,2,Missing (knon fatalities,Clash,4,1,0,0,0,Missing (knon fatalities,Clash,4,1,1,3,0,1,10,10,Clash,Clash,Clash,No,No,No,None,None
2617,2617.001,516,BUI,510,TAZ,13,7,1973,1973,22,7,1973,Yield A,Negotiated,None,Clash,4,1,1,1,0,0,0,Missing (knon fatalities,Clash,4,1,1,1,2,Missing (knon fatalities,Clash,4,1,3,1,0,1,10,10,Clash,Clash,Clash,No,No,No,None,None
2619,2619.001,490,DRC,551,ZAM,29,4,1971,1971,5,10,1971,Compromise,None,0-25,Raid,4,1,1,1,1,1,4,None,Raid,4,1,0,0,0,0-25,Raid,4,1,1,3,0,1,160,160,Attack,Attack,Attack,No,No,No,None,None
2619,2619.001,551,ZAM,490,DRC,29,4,1971,1971,5,10,1971,Compromise,None,0-25,Raid,4,1,1,1,0,0,0,0-25,Raid,4,1,1,1,4,None,Raid,4,1,3,1,0,1,160,160,Attack,Attack,Attack,No,No,No,None,None
2621,2621.001,500,UGA,517,RWA,7,7,1971,1971,16,8,1971,Compromise,Negotiated,None,Show of troops,3,0,1,1,1,1,2,None,Show of troops,3,1,0,0,0,None,No military action,1,1,1,3,0,1,41,41,Show of Force,Show of Force,None,No,No,No,None,None
2621,2621.001,517,RWA,500,UGA,7,7,1971,1971,16,8,1971,Compromise,Negotiated,None,Show of troops,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Show of troops,3,1,3,1,0,1,41,41,Show of Force,None,Show of Force,No,No,No,None,None
2622,2622.001,500,UGA,625,SUD,20,4,1971,1971,20,4,1971,Statlemate,None,None,Threat to use force,2,0,1,1,1,1,2,None,Threat to use force,2,1,0,0,0,None,No military action,1,1,1,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
2622,2622.001,625,SUD,500,UGA,20,4,1971,1971,20,4,1971,Statlemate,None,None,Threat to use force,2,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Threat to use force,2,1,3,1,0,1,1,1,Threat to use force,None,Threat to use force,No,No,No,None,None
2623,2623.001,800,THI,811,CAM,25,7,1963,1963,22,11,1963,Statlemate,None,None,Alert,3,0,1,1,1,0,0,None,Alert,3,1,0,1,1,None,No military action,1,1,1,3,0,1,121,121,Alert,Alert,None,No,No,No,None,None
2623,2623.001,811,CAM,800,THI,25,7,1963,1963,22,11,1963,Statlemate,None,None,Alert,3,0,1,1,0,1,1,None,No military action,1,1,1,0,0,None,Alert,3,1,3,1,0,1,121,121,Alert,None,Alert,No,No,No,None,None
2625,2625.001,750,IND,770,PAK,14,4,1949,1949,19,7,1949,Statlemate,None,None,Raid,4,1,1,1,0,0,0,None,Raid,4,1,1,1,1,None,Raid,4,1,3,1,0,1,97,97,Attack,Attack,Attack,No,No,No,None,None
2625,2625.001,770,PAK,750,IND,14,4,1949,1949,19,7,1949,Statlemate,None,None,Raid,4,1,1,1,1,1,1,None,Raid,4,1,0,0,0,None,Raid,4,1,1,3,0,1,97,97,Attack,Attack,Attack,No,No,No,None,None
2626,2626.001,750,IND,770,PAK,4,10,1952,1952,2,11,1952,Statlemate,None,None,Raid,4,0,1,1,1,0,0,None,Threat to use force,2,1,0,1,1,None,Raid,4,1,1,3,0,1,30,30,Attack,Threat to use force,Attack,No,No,No,None,None
2626,2626.001,770,PAK,750,IND,4,10,1952,1952,2,11,1952,Statlemate,None,None,Raid,4,0,1,1,0,1,1,None,Raid,4,1,1,0,0,None,Threat to use force,2,1,3,1,0,1,30,30,Attack,Attack,Threat to use force,No,No,No,None,None
2627,2627.001,750,IND,770,PAK,18,3,1956,1956,26,3,1956,Statlemate,None,26-100,Clash,4,1,1,1,0,0,0,0-25,Clash,4,1,1,1,1,0-25,Clash,4,1,3,1,0,1,9,9,Clash,Clash,Clash,No,No,No,None,None
2627,2627.001,770,PAK,750,IND,18,3,1956,1956,26,3,1956,Statlemate,None,26-100,Clash,4,1,1,1,1,1,1,0-25,Clash,4,1,0,0,0,0-25,Clash,4,1,1,3,0,1,9,9,Clash,Clash,Clash,No,No,No,None,None
2629,2629.001,750,IND,770,PAK,6,1,1962,1962,27,4,1962,Statlemate,None,None,Show of troops,3,0,1,1,1,0,0,None,Show of troops,3,1,0,1,1,None,Threat to use force,2,1,1,3,0,1,112,112,Show of Force,Show of Force,Threat to use force,No,No,No,None,None
2629,2629.001,770,PAK,750,IND,6,1,1962,1962,27,4,1962,Statlemate,None,None,Show of troops,3,0,1,1,0,1,1,None,Threat to use force,2,1,1,0,0,None,Show of troops,3,1,3,1,0,1,112,112,Show of Force,Threat to use force,Show of Force,No,No,No,None,None
2630,2630.001,750,IND,770,PAK,16,10,1963,1963,16,10,1963,Statlemate,None,None,Threat to use force,2,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Threat to use force,2,1,3,1,0,1,1,1,Threat to use force,None,Threat to use force,No,No,No,None,None
2630,2630.001,770,PAK,750,IND,16,10,1963,1963,16,10,1963,Statlemate,None,None,Threat to use force,2,0,1,1,1,1,1,None,Threat to use force,2,1,0,0,0,None,No military action,1,1,1,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
2631,2631.001,750,IND,770,PAK,1,1,1965,1965,30,6,1965,Statlemate,Negotiated,2510-500,Clash,4,1,1,1,0,0,0,101-250,Clash,4,1,1,1,1,101-250,Clash,4,1,3,1,0,1,181,181,Clash,Clash,Clash,No,No,No,None,None
2631,2631.001,770,PAK,750,IND,1,1,1965,1965,30,6,1965,Statlemate,Negotiated,2510-500,Clash,4,1,1,1,1,1,1,101-250,Clash,4,1,0,0,0,101-250,Clash,4,1,1,3,0,1,181,181,Clash,Clash,Clash,No,No,No,None,None
2632,2632.001,750,IND,770,PAK,1,4,1966,1966,31,8,1966,Statlemate,None,None,Fortify border,3,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Fortify border,3,1,3,1,0,1,153,153,Fortify Border,None,Fortify Border,No,No,No,None,None
2632,2632.001,770,PAK,750,IND,1,4,1966,1966,31,8,1966,Statlemate,None,None,Fortify border,3,0,1,1,1,1,1,None,Fortify border,3,1,0,0,0,None,No military action,1,1,1,3,0,1,153,153,Fortify Border,Fortify Border,None,No,No,No,None,None
2633,2633.001,750,IND,770,PAK,1,3,1969,1969,30,3,1969,Statlemate,None,0-25,Clash,4,1,1,1,0,0,0,0-25,Clash,4,1,1,1,1,0-25,Clash,4,1,3,1,0,1,30,30,Clash,Clash,Clash,No,No,No,None,None
2633,2633.001,770,PAK,750,IND,1,3,1969,1969,30,3,1969,Statlemate,None,0-25,Clash,4,1,1,1,1,1,1,0-25,Clash,4,1,0,0,0,0-25,Clash,4,1,1,3,0,1,30,30,Clash,Clash,Clash,No,No,No,None,None
2634,2634.001,750,IND,770,PAK,12,8,1969,1969,17,3,1970,Ongoing,Ongoing,None,Raid,4,0,1,1,0,0,0,None,Show of planes,3,1,1,0,0,None,Raid,4,1,3,1,0,1,142,142,Attack,Show of Force,Attack,No,No,No,None,None
2634,2634.001,750,IND,770,PAK,12,8,1969,1970,17,3,1970,Statlemate,Negotiated,None,Raid,4,0,1,1,0,0,0,None,Show of planes,3,1,1,0,0,None,Raid,4,1,3,1,0,2,77,219,Attack,Show of Force,Attack,No,No,No,None,None
2634,2634.001,770,PAK,750,IND,12,8,1969,1969,17,3,1970,Ongoing,Ongoing,None,Raid,4,0,1,1,1,0,0,None,Raid,4,1,0,0,0,None,Show of planes,3,1,1,3,0,1,142,142,Attack,Attack,Show of Force,No,No,No,None,None
2634,2634.001,770,PAK,750,IND,12,8,1969,1970,17,3,1970,Statlemate,Negotiated,None,Raid,4,0,1,1,1,0,0,None,Raid,4,1,0,0,0,None,Show of planes,3,1,1,3,0,2,77,219,Attack,Attack,Show of Force,No,No,No,None,None
2635,2635.001,750,IND,770,PAK,20,12,1969,1969,21,12,1969,Statlemate,None,None,Clash,4,1,1,1,0,0,0,Missing (knon fatalities,Clash,4,1,1,1,1,Missing (knon fatalities,Clash,4,1,3,1,0,1,2,2,Clash,Clash,Clash,No,No,No,None,None
2635,2635.001,770,PAK,750,IND,20,12,1969,1969,21,12,1969,Statlemate,None,None,Clash,4,1,1,1,1,1,1,Missing (knon fatalities,Clash,4,1,0,0,0,Missing (knon fatalities,Clash,4,1,1,3,0,1,2,2,Clash,Clash,Clash,No,No,No,None,None
2638,2638.001,750,IND,770,PAK,5,5,1972,1972,5,5,1972,Compromise,Negotiated,101-250,Clash,4,1,1,1,0,0,0,26-100,Clash,4,1,1,1,1,26-100,Clash,4,1,3,1,0,1,1,1,Clash,Clash,Clash,No,No,No,None,None
2638,2638.001,770,PAK,750,IND,5,5,1972,1972,5,5,1972,Compromise,Negotiated,101-250,Clash,4,1,1,1,1,1,1,26-100,Clash,4,1,0,0,0,26-100,Clash,4,1,1,3,0,1,1,1,Clash,Clash,Clash,No,No,No,None,None
2639,2639.001,750,IND,770,PAK,7,7,1981,1981,3,11,1981,Statlemate,None,26-100,Clash,4,1,1,1,0,0,0,0-25,Clash,4,1,1,1,1,0-25,Clash,4,1,3,1,0,1,120,120,Clash,Clash,Clash,No,No,No,None,None
2639,2639.001,770,PAK,750,IND,7,7,1981,1981,3,11,1981,Statlemate,None,26-100,Clash,4,1,1,1,1,1,1,0-25,Clash,4,1,0,0,0,0-25,Clash,4,1,1,3,0,1,120,120,Clash,Clash,Clash,No,No,No,None,None
2640,2640.001,750,IND,770,PAK,8,9,1982,1982,8,9,1982,Statlemate,None,None,Alert,3,0,1,1,1,0,0,None,Alert,3,1,0,1,1,None,No military action,1,1,1,3,0,1,1,1,Alert,Alert,None,No,No,No,None,None
2640,2640.001,770,PAK,750,IND,8,9,1982,1982,8,9,1982,Statlemate,None,None,Alert,3,0,1,1,0,1,1,None,No military action,1,1,1,0,0,None,Alert,3,1,3,1,0,1,1,1,Alert,None,Alert,No,No,No,None,None
2641,2641.001,750,IND,770,PAK,20,10,1983,1983,31,1,1984,Ongoing,Ongoing,None,Clash,4,1,1,1,0,0,0,None,Clash,4,1,1,1,1,None,Clash,4,1,3,1,0,1,73,73,Clash,Clash,Clash,No,No,No,None,None
2641,2641.001,750,IND,770,PAK,20,10,1983,1984,31,1,1984,Statlemate,None,0-25,Clash,4,1,1,1,0,0,0,0-25,Clash,4,1,1,1,1,0-25,Clash,4,1,3,1,0,2,32,105,Clash,Clash,Clash,No,No,No,None,None
2641,2641.001,770,PAK,750,IND,20,10,1983,1983,31,1,1984,Ongoing,Ongoing,None,Clash,4,1,1,1,1,1,1,None,Clash,4,1,0,0,0,None,Clash,4,1,1,3,0,1,73,73,Clash,Clash,Clash,No,No,No,None,None
